code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.000555,2019-10-22,2019-09-30,1.459257,1.031198,0.139236,0.042917,0.486557,1.947637
sz.000557,2019-10-30,2019-09-30,3.478832,3.327870,2.023360,-0.535806,0.073162,1.078937
sz.000558,2019-10-31,2019-09-30,1.242262,0.602950,0.187920,0.041494,0.489395,1.958461
sz.000559,2019-10-24,2019-09-30,1.372978,0.955095,0.363968,-0.069957,0.538733,2.167941
sz.000560,2019-10-26,2019-09-30,1.291181,1.206878,0.334105,0.007072,0.469618,1.885434
sz.000561,2019-10-31,2019-09-30,1.801160,1.213328,0.297583,0.082972,0.509421,2.038409
sz.000563,2019-10-30,2019-09-30,,,,-0.017292,0.163016,1.194766
sz.000564,2019-10-30,2019-09-30,1.821618,1.462300,0.947141,-0.054488,0.417919,1.717975
sz.000565,2019-10-25,2019-09-30,2.327014,1.956013,0.868726,-0.077860,0.261749,1.354552
sz.000566,2019-10-31,2019-09-30,1.175380,1.033639,0.424265,0.094905,0.534085,2.146313
sz.000567,2019-10-30,2019-09-30,3.708918,3.708918,1.283323,-0.519035,0.219430,1.281115
sz.000568,2019-10-31,2019-09-30,3.055273,2.409808,1.918275,1.377672,0.298342,1.425196
sz.000570,2019-10-30,2019-09-30,1.732762,1.370346,0.414073,-0.140798,0.399693,1.665814
sz.000571,2019-10-31,2019-09-30,0.695583,0.654437,0.066596,-0.150156,0.542087,2.183822
sz.000572,2019-10-31,2019-09-30,0.564445,0.438046,0.188864,0.092779,0.488953,1.956768
sz.000573,2019-10-31,2019-09-30,2.223278,0.805629,0.761076,-0.264552,0.447150,1.808808
sz.000576,2019-10-30,2019-09-30,4.092689,3.285554,0.902323,5.420971,0.301278,1.431185
sz.000581,2019-10-30,2019-09-30,2.377758,2.060061,0.507040,0.275902,0.259966,1.351289
sz.000582,2019-10-26,2019-09-30,1.020655,1.012899,0.712463,-0.148882,0.359600,1.561524
sz.000584,2019-10-31,2019-09-30,1.039226,0.568765,0.162845,0.354711,0.611096,2.571327
sz.000585,2019-10-31,2019-09-30,0.489686,0.458345,0.332031,0.098726,0.966331,29.700612
sz.000586,2019-10-30,2019-09-30,1.639570,1.266980,0.281210,0.155037,0.561425,2.280110
sz.000587,2019-10-30,2019-09-30,0.696463,0.520885,0.031870,-0.063979,0.844419,6.427504
sz.000589,2019-10-26,2019-09-30,0.871489,0.771641,0.382634,0.004533,0.658277,2.926348
sz.000590,2019-10-29,2019-09-30,3.467799,3.034862,2.169641,-0.063112,0.281158,1.391126
sz.000591,2019-10-30,2019-09-30,1.302724,1.272920,0.197686,0.196366,0.642625,2.798181
sz.000592,2019-10-31,2019-09-30,7.503545,2.794428,0.757248,-0.514036,0.115411,1.130469
sz.000593,2019-10-31,2019-09-30,0.760352,0.616779,0.072224,0.379435,0.482744,1.933280
sz.000595,2019-10-29,2019-09-30,0.931566,0.598829,0.087734,0.080585,0.663470,2.971503
sz.000596,2019-10-28,2019-09-30,2.167734,1.557485,0.916932,-0.144390,0.317373,1.464930
sz.000597,2019-10-30,2019-09-30,0.750622,0.614396,0.214880,0.026432,0.691359,3.240007
sz.000598,2019-10-26,2019-09-30,0.822465,0.662814,0.386435,0.234039,0.466350,1.873886
sz.000599,2019-10-31,2019-09-30,1.024489,0.691654,0.214228,0.137109,0.599122,2.494527
sz.000600,2019-10-29,2019-09-30,0.720752,0.648375,0.225502,-0.000932,0.566761,2.308196
sz.000601,2019-10-31,2019-09-30,0.984724,0.818263,0.186137,0.122879,0.516829,2.069661
sz.000603,2019-10-23,2019-09-30,1.685872,1.463303,0.260867,2.454727,0.419130,1.721557
sz.000605,2019-10-31,2019-09-30,0.906889,0.549893,0.232834,0.155052,0.615140,2.598347
sz.000606,2019-10-31,2019-09-30,0.559160,0.559155,0.278238,-0.524523,0.318591,1.467547
