ts_code,symbol,name,area,industry,list_date,peTTM,pbMRQ,psTTM,pcfNcfTTM
002380.SZ,002380,科远智慧,江苏,电气设备,20100331,29.183397,1.664343,4.913670,38.339831
002381.SZ,002381,双箭股份,浙江,橡胶,20100402,13.122803,1.850663,2.083343,-99.502446
002382.SZ,002382,蓝帆医疗,山东,医疗保健,20100402,32.532433,1.915420,4.597483,-10.944432
002383.SZ,002383,合众思壮,北京,通信设备,20100402,-8.631092,2.127833,5.272611,46.015645
002384.SZ,002384,东山精密,江苏,元器件,20100409,51.116837,3.996260,1.536726,273.983904
002385.SZ,002385,大北农,北京,饲料,20100409,63.797848,3.237157,1.971592,-209.159886
002386.SZ,002386,天原集团,四川,化工原料,20100409,51.475611,0.836893,0.175942,-4.733846
002387.SZ,002387,维信诺,广东,元器件,20100413,234.389285,1.027947,5.649330,-4.013879
002388.SZ,002388,新亚制程,深圳,元器件,20100413,58.014912,2.848598,2.182446,-9.048580
002389.SZ,002389,航天彩虹,浙江,元器件,20100413,47.841974,1.876333,4.058045,63.682065
002390.SZ,002390,信邦制药,贵州,中成药,20100416,35.783026,1.718049,1.260492,-19.904773
002391.SZ,002391,长青股份,江苏,农药化肥,20100416,13.981887,1.596103,1.526223,-246.702031
002392.SZ,002392,北京利尔,北京,其他建材,20100423,10.065242,1.141658,1.129873,903.838513
002393.SZ,002393,力生制药,天津,化学制药,20100423,24.015242,0.965426,2.771618,5.755127
002394.SZ,002394,联发股份,江苏,纺织,20100423,8.163995,0.920869,0.768268,21.698442
002395.SZ,002395,双象股份,江苏,塑料,20100429,131.689985,4.859516,2.903111,-131.798896
002396.SZ,002396,星网锐捷,福建,通信设备,20100623,39.627756,5.912694,2.612014,-171.801181
002397.SZ,002397,梦洁股份,湖南,纺织,20100429,39.125396,1.826278,1.345698,-100.894148
002398.SZ,002398,垒知集团,福建,其他建材,20100506,14.406203,2.115393,1.712128,868.148479
002399.SZ,002399,海普瑞,深圳,化学制药,20100506,25.036251,3.954437,5.844083,-25.004978
002400.SZ,002400,省广集团,广东,广告包装,20100506,34.850283,0.973885,0.422746,-18.989499
002401.SZ,002401,中远海科,上海,软件服务,20100506,39.378970,4.084815,3.161571,44.221565
002402.SZ,002402,和而泰,深圳,元器件,20100511,41.893416,6.994039,3.477748,37.794000
002403.SZ,002403,爱仕达,浙江,家用电器,20100511,20.541001,1.375017,0.837092,-40.074109
002404.SZ,002404,嘉欣丝绸,浙江,纺织,20100511,19.914181,1.878891,0.918958,29.292773
002405.SZ,002405,四维图新,北京,软件服务,20100518,92.293739,4.263422,13.596591,-74.297968
002406.SZ,002406,远东传动,河南,汽车配件,20100518,12.728420,1.340307,1.987199,3.495071
002407.SZ,002407,多氟多,河南,化工原料,20100518,-19.472150,2.261677,1.987279,-368.399771
002408.SZ,002408,齐翔腾达,山东,化工原料,20100518,15.663807,1.369353,0.365919,-19.220551
002409.SZ,002409,雅克科技,江苏,化工原料,20100525,62.698384,3.663671,8.654585,26.232117
002410.SZ,002410,广联达,北京,软件服务,20100525,203.804597,15.284170,13.458074,55.205813
002411.SZ,002411,延安必康,陕西,化学制药,20100525,45.866111,1.508601,1.574926,-8301.018654
002412.SZ,002412,汉森制药,湖南,中成药,20100525,26.076881,2.903949,4.895801,201.776125
002413.SZ,002413,雷科防务,江苏,通信设备,20100528,58.805835,2.387191,7.425841,-46.726364
